<SemiconductorModuleTests>
	<SequenceName>	<StepName>	<StepId>	<TestName>	<TestNumber>	<Pin>	<LowLimitExpression>	<HighLimitExpression>	<ComparisonType>	<ScalingFactor>	<Units>	<EvaluationType>	<FailBin>	<PublishedDataId>	<TestDataSource>	<ExportLocation>	
	MainSequence	Continuity	ID#:3MfKqpo85xGnSACALyEibC	Continuity OUTP Voltage	1000	HSD_DUT_OUT_POS	.6	.73	GELE		V	Numeric Limit	10	Continuity_OUTP			
	MainSequence	Continuity	ID#:3MfKqpo85xGnSACALyEibC	Continuity OUTN Voltage	1001	HSD_DUT_OUT_NEG	.6	0.73	GELE		V	Numeric Limit	10	Continuity_OUTN			
	MainSequence	DC Startup Settling Voltage	ID#:gLKsRhee7BGbhFy679ViYC	DC Startup Settling Voltage	1100	DAQ_DUT_OUT_DIFF	-400	400	GELE	m	V	Numeric Limit		DC Output_V			
	MainSequence	Quiescent Current @ 2.8V	ID#:9vVcIvSE7BGbgVy679ViYC	DUT Current Consumption (Vdd = 2.8V)	1200	SMU_DUT_VDD	125	225	GELE	u	A	Numeric Limit		DUT_Out_Current_A			
	MainSequence	Sensitivity	ID#:DGRI5PSE7BGbgVy679ViYC	Reference Mic dBSPL	1300	DAQ_REFMIC	93.5	94.1	GELE		dBSPL	Numeric Limit		Sensitivity			
	MainSequence	Sensitivity	ID#:DGRI5PSE7BGbgVy679ViYC	DUT Sensitivity @ 2.8V	1301	DAQ_DUT_OUT_DIFF	-55	-47	GELE		dBV	Numeric Limit		Sensitivity		Locals.DUTSensitivity_dBV	
	MainSequence	Read TrimOTP	ID#:HIDBJZI67RGIZSIAICtztC	Fresh DUT?	1350		135.5	136.5	GELE			Numeric Limit	20	Pre_OTP			
	MainSequence	Read TrimOTP	ID#:HIDBJZI67RGIZSIAICtztC	PreTrim Gain	1351				LOG			Numeric Limit		Pre_Gain			
	MainSequence	Read TrimOTP	ID#:HIDBJZI67RGIZSIAICtztC	PreTrim Vbias	1352				LOG			Numeric Limit		Pre_Vbias			
	MainSequence	Read TrimOTP	ID#:HIDBJZI67RGIZSIAICtztC	PreTrim Mode	1353		-0.5	0.5	GELE			Numeric Limit	20	Pre_Mode			
	MainSequence	Read TrimOTP	ID#:HIDBJZI67RGIZSIAICtztC	PreTrim OTP	1354				LOG			Numeric Limit		Pre_OTP		Locals.PreTrimOTP	
	MainSequence	Read TrimOTP	ID#:HIDBJZI67RGIZSIAICtztC	Pre Trim Read ACK	1355							Pass/Fail	20	Read_ACK			
	MainSequence	Sensitivity Trimming	ID#:NdSDIfWE7BGbgVy679ViYC	Trim Target Sensitivity	1400				LOG		dBV	Numeric Limit			FileGlobals.TrimTargetSens_dBV		
	MainSequence	Sensitivity Trimming	ID#:NdSDIfWE7BGbgVy679ViYC	PreTrim Sensitivity	1401		-55	-47	GELE		dBV	Numeric Limit			Locals.DUTSensitivity_dBV		
	MainSequence	Sensitivity Trimming	ID#:NdSDIfWE7BGbgVy679ViYC	PreTrim Gain	1402				LOG			Numeric Limit		Pre_Gain			
	MainSequence	Sensitivity Trimming	ID#:NdSDIfWE7BGbgVy679ViYC	PreTrim Vbias	1403				LOG			Numeric Limit		Pre_Vbias			
	MainSequence	Sensitivity Trimming	ID#:NdSDIfWE7BGbgVy679ViYC	PreTrim Mode	1404		-0.5	0.5	GELE			Numeric Limit		Pre_Mode			
	MainSequence	Sensitivity Trimming	ID#:NdSDIfWE7BGbgVy679ViYC	PreTrim OTP	1405				LOG			Numeric Limit		Pre_OTP			
	MainSequence	Sensitivity Trimming	ID#:NdSDIfWE7BGbgVy679ViYC	Pre Trim Read ACK	1406							Pass/Fail		Read_ACK			
	MainSequence	Sensitivity Trimming	ID#:NdSDIfWE7BGbgVy679ViYC	Trim Gain	1407				LOG			Numeric Limit		Trim_Gain			
	MainSequence	Sensitivity Trimming	ID#:NdSDIfWE7BGbgVy679ViYC	Trim Vbias	1408				LOG			Numeric Limit		Trim_Vbias			
	MainSequence	Sensitivity Trimming	ID#:NdSDIfWE7BGbgVy679ViYC	Trim Mode	1409		-0.5	0.5	GELE			Numeric Limit		Trim_Mode			
	MainSequence	Sensitivity Trimming	ID#:NdSDIfWE7BGbgVy679ViYC	Trim OTP	1410				LOG			Numeric Limit		Trim_OTP			
	MainSequence	Sensitivity Trimming	ID#:NdSDIfWE7BGbgVy679ViYC	Trim OTP Echo	1411				LOG			Numeric Limit		Trim_Readback			
	MainSequence	Sensitivity Trimming	ID#:NdSDIfWE7BGbgVy679ViYC	Trim Write ACK	1412							Pass/Fail		Write_ACK			
	MainSequence	Sensitivity Trimming	ID#:NdSDIfWE7BGbgVy679ViYC	Trim Sensitivity	1413		-52	-50	GELE		dBV	Numeric Limit		Trim_Sens			
	MainSequence	Sensitivity Trimming	ID#:NdSDIfWE7BGbgVy679ViYC	Program OTP?	1414				LOG			Numeric Limit			FileGlobals.ProgramOTP?1:0		
	MainSequence	Sensitivity Trimming	ID#:NdSDIfWE7BGbgVy679ViYC	Trim Method-Gain/G&V/Combo	1415				LOG			Numeric Limit			Val(FileGlobals.TrimMethod)		
	MainSequence	DEBUG: Sensitivity Trimming - Char	ID#:OgoDbbkZ7RGITOoA6vakDB		No Tests												
	MainSequence	Frequency Response - Chirp	ID#:fRaxU/SE7BGbgVy679ViYC	Reference Mic dBSPL @ 300Hz	1500	DAQ_REFMIC			LOG		dBSPL	Numeric Limit		Amplitude_300Hz			
	MainSequence	Frequency Response - Chirp	ID#:fRaxU/SE7BGbgVy679ViYC	DUT dBV @ 300Hz	1501	DAQ_DUT_OUT_DIFF			LOG		dBV	Numeric Limit		Amplitude_300Hz			
	MainSequence	Frequency Response - Chirp	ID#:fRaxU/SE7BGbgVy679ViYC	Reference Mic dBSPL @ 18kHz	1502	DAQ_REFMIC			LOG		dBSPL	Numeric Limit		Amplitude_18kHz			
	MainSequence	Frequency Response - Chirp	ID#:fRaxU/SE7BGbgVy679ViYC	DUT dBV @ 18kHz	1503	DAQ_DUT_OUT_DIFF			LOG		dBV	Numeric Limit		Amplitude_18kHz			
	MainSequence	Frequency Response - Stepped Sine	ID#:6re38zQU7RGISIoAiLJl9A	Reference Mic dBSPL @ 100Hz	1501	DAQ_REFMIC	90	95	GELE		dBSPL	Numeric Limit	10	0_Amplitude			
	MainSequence	Frequency Response - Stepped Sine	ID#:6re38zQU7RGISIoAiLJl9A	DUT dBV @ 100Hz	1502	DAQ_DUT_OUT_DIFF	-73	-65	GELE		dBV	Numeric Limit		0_Amplitude			
	MainSequence	Frequency Response - Stepped Sine	ID#:6re38zQU7RGISIoAiLJl9A	Reference Mic dBSPL @ 500Hz	1503	DAQ_REFMIC	93.5	94.1	GELE		dBSPL	Numeric Limit	10	1_Amplitude			
